Date,Open,High,Low,Close,Adj Close,Volume
2016-11-30,172.199997,173.190002,171.589996,171.740005,147.767609,2595800
2016-12-01,171.639999,172.740005,171.449997,172.630005,148.533386,1756900
2016-12-02,172.529999,173.690002,172.240005,172.429993,148.361282,1871500
2016-12-05,172.630005,172.949997,171.089996,171.619995,147.664337,2181300
2016-12-06,171.820007,172.029999,171.229996,171.800003,147.819229,1467500
2016-12-07,172.380005,176.059998,171.970001,176.050003,151.475967,3164300
2016-12-08,176.080002,176.350006,174.770004,175.880005,151.329727,1790700
2016-12-09,175.360001,178.869995,175.300003,178.490005,153.575409,2650400
2016-12-12,178.250000,179.809998,177.570007,179.639999,154.564865,2296100
2016-12-13,179.570007,180.059998,176.770004,178.830002,153.867966,2708600
2016-12-14,179.160004,179.389999,176.410004,176.600006,151.949234,2234200
2016-12-15,177.259995,177.580002,175.050003,176.020004,151.450211,2055600
2016-12-16,176.559998,178.500000,176.550003,177.449997,152.680527,3889700
2016-12-19,177.610001,178.669998,177.320007,178.160004,153.291473,1382000
2016-12-20,178.339996,179.330002,178.059998,178.649994,153.713028,1378200
2016-12-21,178.600006,179.529999,178.419998,178.429993,153.523773,1555900
2016-12-22,178.889999,179.460007,177.979996,179.199997,154.186264,1225600
2016-12-23,179.089996,179.289993,178.529999,178.750000,153.799118,731100
2016-12-27,178.660004,179.199997,178.570007,178.919998,153.945404,651000
2016-12-28,178.880005,179.449997,178.020004,178.080002,153.222626,1287900
2016-12-29,178.289993,179.139999,178.029999,178.410004,153.506546,1102000
2016-12-30,179.000000,179.479996,178.289993,178.570007,153.644226,1594200
2017-01-03,178.830002,180.000000,177.220001,178.050003,153.196838,2509300
2017-01-04,178.029999,178.899994,177.610001,178.320007,153.429153,1542000
2017-01-05,178.259995,179.139999,176.889999,177.710007,152.904297,1447800
2017-01-06,177.289993,178.600006,175.800003,178.229996,153.351700,1625000
2017-01-09,178.369995,178.380005,177.199997,177.270004,152.525681,1622600
2017-01-10,177.360001,177.490005,176.309998,176.580002,151.931992,2030100
2017-01-11,176.630005,178.449997,176.389999,177.889999,153.059158,1579600
2017-01-12,176.970001,177.699997,175.750000,177.440002,152.671967,1321800
2017-01-13,177.580002,177.910004,176.830002,177.389999,152.628937,1265500
2017-01-17,177.000000,177.679993,176.250000,177.259995,152.517090,1557500
2017-01-18,177.899994,179.440002,177.380005,178.490005,153.575409,1804600
2017-01-19,179.250000,179.800003,177.759995,178.679993,153.738861,1464400
2017-01-20,179.199997,179.460007,177.830002,178.490005,153.575409,1761900
2017-01-23,177.910004,178.990005,177.130005,178.509995,153.592621,1986800
2017-01-24,177.500000,177.759995,174.419998,175.970001,151.407181,3473200
2017-01-25,177.089996,178.630005,176.570007,176.729996,152.061066,3462600
2017-01-26,176.309998,177.229996,176.039993,176.820007,152.138535,2235900
2017-01-27,177.479996,177.979996,176.830002,177.479996,152.706390,1623700
2017-01-30,177.250000,177.729996,174.869995,175.419998,150.933945,1823100
2017-01-31,174.740005,175.460007,173.809998,174.820007,150.417694,1845500
2017-02-01,175.169998,175.800003,174.300003,175.169998,150.718826,2272900
2017-02-02,174.130005,174.779999,173.550003,174.179993,149.867004,3106800
2017-02-03,174.020004,175.300003,173.850006,175.039993,150.607010,2820500
2017-02-06,174.119995,176.199997,173.899994,175.100006,150.658600,1622800
2017-02-07,176.080002,176.399994,175.149994,175.759995,151.226471,1247400
2017-02-08,175.619995,177.600006,175.490005,177.070007,152.353638,2145700
2017-02-09,176.869995,178.550003,176.869995,178.179993,153.308655,2009700
2017-02-10,178.300003,179.580002,178.190002,179.000000,154.014206,1392400
2017-02-13,179.860001,181.380005,179.259995,181.020004,155.752243,1929800
2017-02-14,180.860001,182.000000,180.649994,181.600006,156.251282,2035900
2017-02-15,180.300003,181.830002,180.149994,181.699997,157.355423,1762900
2017-02-16,181.750000,183.460007,181.619995,183.410004,158.836334,2164000
2017-02-17,183.429993,183.600006,182.529999,182.949997,158.437958,1961500
2017-02-21,182.789993,183.619995,182.039993,183.369995,158.801712,1736300
2017-02-22,183.399994,186.119995,183.080002,186.039993,161.113953,2850900
2017-02-23,185.910004,187.460007,185.710007,187.190002,162.109894,2401600
2017-02-24,186.820007,188.410004,186.300003,187.410004,162.300430,2126300
2017-02-27,187.500000,187.550003,186.380005,186.910004,161.867432,1393800
2017-02-28,186.729996,187.500000,186.309998,186.350006,161.382446,1932100
2017-03-01,188.080002,190.539993,188.009995,189.860001,164.422165,2226200
2017-03-02,189.460007,190.100006,189.029999,189.889999,164.448151,1764000
2017-03-03,189.889999,190.240005,188.539993,189.309998,163.945892,1627400
2017-03-06,188.929993,189.240005,188.270004,188.899994,163.590775,1668700
2017-03-07,188.289993,189.259995,188.250000,189.089996,163.755325,1662300
2017-03-08,189.720001,190.210007,188.970001,189.509995,164.119003,1563700
2017-03-09,189.250000,190.389999,189.169998,189.899994,164.456787,1556700
2017-03-10,190.639999,191.240005,190.029999,191.210007,165.591278,2515000
2017-03-13,191.770004,191.960007,190.460007,191.520004,165.859741,1972700
2017-03-14,190.929993,191.440002,189.110001,190.330002,164.829208,1893600
2017-03-15,190.179993,191.860001,189.720001,191.199997,165.582626,2047000
2017-03-16,191.059998,191.639999,189.639999,190.309998,164.811890,1937100
2017-03-17,190.820007,192.360001,190.350006,192.360001,166.587219,4228100
2017-03-20,192.520004,193.500000,192.279999,193.009995,167.150085,2085600
2017-03-21,193.490005,193.490005,191.509995,192.130005,166.388016,1895100
2017-03-22,192.300003,192.880005,190.460007,192.220001,166.465958,1627300
2017-03-23,192.119995,192.970001,191.229996,192.139999,166.396698,1482000
2017-03-24,192.119995,192.619995,190.899994,191.509995,165.851074,1435400
2017-03-27,190.699997,191.000000,189.160004,190.429993,164.915787,1984600
