Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,78.320000,79.730003,77.779999,79.480003,79.097023,15235000
2020-12-01,79.940002,79.989998,78.629997,79.930000,79.544853,5794200
2020-12-02,79.720001,80.010002,78.739998,79.150002,78.768616,4780600
2020-12-03,79.309998,79.809998,78.550003,78.790001,78.410347,4860000
2020-12-04,78.720001,80.930000,78.639999,80.879997,80.490273,6414300
2020-12-07,81.400002,82.949997,81.180000,82.269997,81.873573,6730800
2020-12-08,82.480003,83.639999,81.989998,83.629997,83.227020,6740000
2020-12-09,83.500000,83.680000,81.870003,82.580002,82.182083,11116600
2020-12-10,82.279999,83.930000,81.680000,83.110001,82.709534,8503300
2020-12-11,83.129997,84.040001,82.870003,83.680000,83.276787,5864200
2020-12-14,84.269997,86.260002,84.080002,85.940002,85.525894,7506200
2020-12-15,86.250000,86.959999,85.589996,86.919998,86.501167,5925700
2020-12-16,87.260002,88.290001,86.839996,88.220001,87.794907,6969300
2020-12-17,88.870003,89.349998,86.980003,88.459999,88.033752,6796900
2020-12-18,89.040001,90.779999,88.290001,90.370003,89.934547,14075300
2020-12-21,89.480003,90.050003,87.180000,88.809998,88.382065,7304000
2020-12-22,89.440002,89.610001,88.300003,89.419998,88.989120,5084000
2020-12-23,89.949997,90.489998,88.800003,90.209999,89.775314,4728300
2020-12-24,90.300003,91.220001,90.279999,90.959999,90.521706,2269100
2020-12-28,91.760002,92.260002,90.769997,91.430000,90.989441,4378300
2020-12-29,91.629997,92.110001,90.849998,91.370003,90.929733,3741400
2020-12-30,91.750000,92.599998,91.430000,91.580002,91.138718,2689600
2020-12-31,91.739998,92.989998,91.529999,92.849998,92.402596,4311000
2021-01-04,92.699997,92.910004,89.220001,89.900002,89.466812,7423100
2021-01-05,90.320000,90.750000,89.099998,90.690002,90.253006,4544100
2021-01-06,89.059998,89.900002,87.889999,88.000000,87.575966,7422100
2021-01-07,88.860001,90.750000,88.269997,89.669998,89.237915,6142200
2021-01-08,90.070000,91.370003,89.529999,91.300003,90.860069,4408800
2021-01-11,91.300003,91.849998,90.550003,90.910004,90.471947,6685900
2021-01-12,91.000000,91.190002,87.959999,89.250000,88.819946,5401100
2021-01-13,89.639999,90.339996,88.440002,89.769997,89.337433,4223700
2021-01-14,90.160004,91.239998,89.650002,89.989998,89.556374,5466000
2021-01-15,89.989998,90.750000,88.570000,90.690002,90.253006,8461400
2021-01-19,90.919998,93.370003,90.830002,93.150002,92.701149,5711900
2021-01-20,93.959999,95.870003,93.570000,95.120003,94.661659,5703200
2021-01-21,95.470001,95.699997,94.209999,94.599998,94.144165,4488800
2021-01-22,94.680000,95.230003,93.820000,94.430000,93.974983,3755100
2021-01-25,95.529999,95.760002,92.739998,93.400002,92.949951,5373500
2021-01-26,93.349998,93.680000,92.139999,92.379997,91.934860,6424300
2021-01-27,91.000000,91.000000,88.209999,88.669998,88.242737,12152900
2021-01-28,89.570000,91.419998,89.010002,90.269997,89.835022,6685600
2021-01-29,90.000000,91.330002,89.739998,91.000000,90.561508,7025500
2021-02-01,91.480003,92.160004,90.860001,91.419998,90.979485,4271100
2021-02-02,92.040001,94.180000,91.809998,93.980003,93.527153,5782600
2021-02-03,93.889999,94.070000,92.589996,92.769997,92.322975,6666800
2021-02-04,93.349998,94.419998,92.410004,92.680000,92.233414,8296500
2021-02-05,100.660004,104.230003,100.000000,101.610001,101.120384,17047800
2021-02-08,102.050003,103.080002,100.389999,101.190002,100.702415,5969800
2021-02-09,101.949997,103.769997,101.059998,102.730003,102.234993,5298900
2021-02-10,103.040001,103.440002,101.250000,102.760002,102.264847,4744600
2021-02-11,103.500000,104.220001,102.550003,103.239998,102.742531,3306500
2021-02-12,102.779999,103.889999,102.139999,103.809998,103.309784,3023500
2021-02-16,103.820000,104.529999,102.480003,102.959999,102.463882,3773000
2021-02-17,102.580002,103.370003,101.809998,102.349998,101.856819,3742100
2021-02-18,101.830002,102.400002,100.940002,102.250000,101.757301,5087800
2021-02-19,102.949997,103.080002,100.589996,100.800003,100.314293,4369500
2021-02-22,99.820000,99.820000,96.410004,96.580002,96.114624,6152800
2021-02-23,95.070000,96.849998,93.550003,96.419998,95.955391,6238400
2021-02-24,95.449997,96.059998,94.519997,95.690002,95.228912,5925500
2021-02-25,95.320000,96.419998,93.790001,95.099998,94.641754,5414200
2021-02-26,96.000000,97.209999,95.160004,95.610001,95.149300,6388200
